user_id,age,monthly_income,investment_capital,investment_horizon,risk_tolerance,investment_goal,preferred_market,experience_level,liquidity_need,recommended_market,recommendation_confidence,recommendation_reason,score_deposits,score_saudi_funds,score_saudi_stocks,score_us_stocks,score_mixed
USR0037,40,18000,608000,long,medium,capital_preservation,Saudi,beginner,medium,Saudi_Funds,0.207,medium risk tolerance; medium liquidity need; capital preservation goal,38,58,42,20,46
USR0038,22,6500,166000,medium,low,income,Saudi,beginner,low,Saudi_Funds,0.213,low risk tolerance; medium investment horizon; income goal,59,75,30,14,24
USR0039,24,5500,112000,medium,low,income,Saudi,beginner,medium,Saudi_Funds,0.289,low risk tolerance; medium investment horizon; medium liquidity need,59,83,22,6,22
USR0040,39,5000,20000,medium,medium,growth,US,beginner,medium,Saudi_Funds,0.061,medium risk tolerance; medium investment horizon; medium liquidity need,15,49,38,34,46
USR0041,45,17000,317000,long,high,growth,Saudi,advanced,low,US_Stocks,0.143,high risk tolerance; long investment horizon; low liquidity need,0,10,64,77,66
USR0042,39,27500,452000,short,low,capital_preservation,US,intermediate,medium,Deposits,0.33,low risk tolerance; short investment horizon; capital preservation goal,88,59,8,16,14
USR0043,36,24000,199000,medium,high,growth,Both,advanced,medium,Mixed,0.216,high risk tolerance; medium investment horizon; medium liquidity need,0,25,40,58,74
USR0044,34,10500,258000,medium,high,balanced,Saudi,intermediate,low,Mixed,0.094,high risk tolerance; medium investment horizon; low liquidity need,0,30,58,33,64
USR0045,23,6500,227000,long,high,balanced,Saudi,intermediate,high,Mixed,0.235,high risk tolerance; long investment horizon; balanced goal,22,26,52,47,68
USR0046,30,13000,280000,long,high,income,Both,advanced,low,Mixed,0.086,high risk tolerance; long investment horizon; low liquidity need,14,21,38,64,70
USR0047,33,8500,225000,short,medium,balanced,Both,advanced,medium,Mixed,0.368,medium risk tolerance; medium liquidity need; balanced goal,25,43,18,15,68
USR0048,48,20000,105000,short,low,capital_preservation,Both,advanced,high,Deposits,0.418,low risk tolerance; short investment horizon; high liquidity need,110,64,0,15,26
USR0049,41,20000,335000,short,medium,income,US,intermediate,high,Deposits,0.246,short investment horizon; high liquidity need; income goal,61,46,26,16,26
USR0050,22,12000,82000,medium,medium,growth,Saudi,beginner,medium,Saudi_Funds,0.037,medium risk tolerance; medium investment horizon; medium liquidity need,10,54,52,24,52
USR0051,41,15000,348000,short,medium,balanced,Both,beginner,high,Deposits,0.035,short investment horizon; high liquidity need; beginner investor,57,55,18,5,52
USR0052,34,11500,390000,short,medium,balanced,Saudi,intermediate,high,Saudi_Funds,0.021,medium risk tolerance; short investment horizon; high liquidity need,47,48,40,0,44
USR0053,31,8500,211000,long,high,growth,Saudi,intermediate,low,Saudi_Stocks,0.069,high risk tolerance; long investment horizon; low liquidity need,0,10,72,67,64
USR0054,44,12500,69000,long,high,growth,Both,beginner,medium,Mixed,0.086,high risk tolerance; long investment horizon; medium liquidity need,10,25,42,64,70
USR0055,48,16500,242000,medium,medium,balanced,US,intermediate,low,Mixed,0.323,medium risk tolerance; medium investment horizon; low liquidity need,0,32,42,24,62
USR0056,47,20000,423000,short,low,income,Both,intermediate,low,Deposits,0.243,low risk tolerance; short investment horizon; income goal,74,56,16,13,32
USR0057,29,14500,236000,medium,low,income,Saudi,beginner,high,Saudi_Funds,0.024,low risk tolerance; medium investment horizon; high liquidity need,81,83,22,6,16
USR0058,34,9500,289000,short,medium,capital_preservation,US,intermediate,high,Deposits,0.387,short investment horizon; high liquidity need; capital preservation goal,75,46,26,16,26
USR0059,41,26000,776000,short,medium,growth,Saudi,intermediate,medium,Saudi_Stocks,0.038,medium risk tolerance; growth goal; intermediate investor,25,40,52,22,50
USR0060,47,16000,371000,long,high,growth,Saudi,advanced,medium,US_Stocks,0.072,high risk tolerance; long investment horizon; growth goal,0,18,56,69,64
USR0061,33,12000,183000,long,high,income,Both,advanced,medium,Mixed,0.176,high risk tolerance; long investment horizon; medium liquidity need,14,29,30,56,68
USR0062,36,10000,114000,long,medium,capital_preservation,Saudi,beginner,low,Saudi_Funds,0.0,medium risk tolerance; capital preservation goal; beginner investor,38,50,50,24,42
USR0063,26,4000,25000,medium,medium,balanced,Saudi,advanced,low,Mixed,0.314,medium risk tolerance; medium investment horizon; low liquidity need,5,47,48,24,70
USR0064,26,13000,191000,long,low,growth,Both,beginner,low,Mixed,0.086,long investment horizon; low liquidity need; growth goal,45,42,30,53,58
USR0065,46,22500,374000,medium,high,growth,Saudi,advanced,medium,Mixed,0.069,high risk tolerance; medium investment horizon; medium liquidity need,0,30,54,53,58
USR0066,51,17500,442000,long,medium,income,US,advanced,low,Mixed,0.038,medium risk tolerance; long investment horizon; low liquidity need,14,28,36,50,52
USR0067,37,14000,346000,medium,medium,capital_preservation,US,advanced,medium,Saudi_Funds,0.083,medium risk tolerance; medium investment horizon; medium liquidity need,28,48,26,26,44
USR0068,48,22000,116000,long,medium,capital_preservation,Both,advanced,low,Mixed,0.426,medium risk tolerance; long investment horizon; low liquidity need,28,33,36,39,68
USR0069,41,9000,144000,long,high,income,Saudi,beginner,high,Deposits,0.0,high liquidity need; income goal; beginner investor,46,46,44,41,36
USR0070,31,9500,85000,short,low,income,Saudi,beginner,medium,Deposits,0.036,low risk tolerance; short investment horizon; income goal,84,81,14,0,6
USR0071,41,20500,167000,short,medium,growth,Saudi,advanced,high,Deposits,0.064,short investment horizon; high liquidity need,47,40,44,28,40
USR0072,53,13000,393000,long,medium,capital_preservation,US,intermediate,low,Mixed,0.12,medium risk tolerance; long investment horizon; low liquidity need,28,28,44,40,50
USR0073,37,15500,67000,medium,medium,growth,US,intermediate,low,Mixed,0.036,medium risk tolerance; medium investment horizon; low liquidity need,0,24,54,42,56
USR0074,53,12500,210000,long,medium,growth,Both,advanced,high,Mixed,0.319,medium risk tolerance; long investment horizon; growth goal,22,25,40,49,72
USR0075,22,9000,76000,long,high,growth,Both,intermediate,medium,Mixed,0.167,high risk tolerance; long investment horizon; medium liquidity need,0,13,50,70,84
USR0076,46,17000,544000,long,high,income,US,intermediate,low,US_Stocks,0.159,high risk tolerance; long investment horizon; low liquidity need,14,16,46,69,58
USR0077,38,8000,171000,long,medium,balanced,Saudi,intermediate,high,Mixed,0.167,medium risk tolerance; long investment horizon; balanced goal,22,38,50,16,60
USR0078,35,19500,207000,medium,high,growth,Both,advanced,low,Mixed,0.132,high risk tolerance; medium investment horizon; low liquidity need,0,17,48,66,76
USR0079,38,11000,215000,medium,medium,growth,Saudi,intermediate,medium,Saudi_Stocks,0.1,medium risk tolerance; medium investment horizon; growth goal,0,42,60,18,54
USR0080,22,6000,162000,medium,low,capital_preservation,Saudi,beginner,low,Saudi_Funds,0.027,low risk tolerance; medium investment horizon; capital preservation goal,73,75,30,14,24
USR0081,35,14000,484000,short,low,income,Both,intermediate,high,Deposits,0.333,low risk tolerance; short investment horizon; high liquidity need,96,64,8,5,24
USR0082,41,23000,236000,medium,medium,balanced,Both,advanced,medium,Mixed,0.423,medium risk tolerance; medium investment horizon; medium liquidity need,0,45,26,15,78
USR0083,52,14000,451000,medium,high,balanced,Saudi,advanced,high,Mixed,0.276,high risk tolerance; medium investment horizon; balanced goal,22,38,42,35,58
USR0084,32,12000,405000,short,low,income,Saudi,intermediate,high,Deposits,0.281,low risk tolerance; short investment horizon; high liquidity need,96,69,22,0,8
USR0085,29,12500,415000,long,high,growth,Both,beginner,low,US_Stocks,0.0,high risk tolerance; long investment horizon; low liquidity need,10,17,50,78,78
USR0086,32,15000,359000,short,medium,growth,Both,advanced,low,Mixed,0.359,medium risk tolerance; low liquidity need; growth goal,25,27,38,41,64
USR0087,47,19000,451000,long,high,income,Both,advanced,low,Mixed,0.086,high risk tolerance; long investment horizon; low liquidity need,14,21,38,64,70
USR0088,41,13500,220000,medium,low,income,Saudi,beginner,low,Saudi_Funds,0.213,low risk tolerance; medium investment horizon; income goal,59,75,30,8,18
USR0089,32,8500,236000,long,high,capital_preservation,Both,advanced,low,Saudi_Funds,0.0,controlled label noise for model robustness,28,21,38,64,70
USR0090,43,16500,338000,medium,medium,income,Saudi,advanced,medium,Saudi_Funds,0.241,medium risk tolerance; medium investment horizon; medium liquidity need,14,58,40,10,44
USR0091,38,9500,240000,medium,low,income,US,beginner,low,Saudi_Funds,0.092,low risk tolerance; medium investment horizon; income goal,59,65,16,24,18
USR0092,47,6000,102000,short,medium,balanced,Both,intermediate,high,Mixed,0.217,medium risk tolerance; balanced goal; intermediate investor,47,43,26,5,60
USR0093,30,13000,352000,medium,high,growth,US,intermediate,low,US_Stocks,0.134,high risk tolerance; low liquidity need; growth goal,0,12,56,67,58
USR0094,34,17500,528000,short,medium,balanced,US,intermediate,medium,Mixed,0.321,medium risk tolerance; medium liquidity need; balanced goal,25,38,26,20,56
USR0095,34,5500,43000,medium,low,income,Saudi,intermediate,medium,Saudi_Funds,0.289,low risk tolerance; medium investment horizon; medium liquidity need,54,76,30,0,24
USR0096,23,5500,167000,long,high,balanced,US,beginner,low,US_Stocks,0.042,high risk tolerance; long investment horizon; low liquidity need,10,20,38,71,68
USR0097,40,18500,385000,short,medium,income,Both,intermediate,high,Deposits,0.164,short investment horizon; high liquidity need; income goal,61,51,26,5,42
USR0098,40,31000,957000,medium,medium,balanced,US,intermediate,high,Mixed,0.333,medium risk tolerance; medium investment horizon; balanced goal,22,40,34,20,60
USR0099,38,14500,249000,medium,medium,income,Saudi,intermediate,low,Saudi_Stocks,0.107,medium risk tolerance; medium investment horizon; low liquidity need,14,50,56,8,44
USR0100,35,10000,155000,long,medium,capital_preservation,US,advanced,low,Mixed,0.038,medium risk tolerance; long investment horizon; low liquidity need,28,28,36,50,52
USR0101,23,7500,248000,short,low,income,Both,beginner,high,Deposits,0.283,low risk tolerance; short investment horizon; high liquidity need,106,76,0,11,22
USR0102,33,20000,225000,short,low,capital_preservation,Saudi,beginner,high,Deposits,0.325,low risk tolerance; short investment horizon; high liquidity need,120,81,14,0,0
USR0103,34,10000,308000,long,low,income,US,intermediate,medium,Deposits,0.0,low risk tolerance; income goal,49,49,18,32,30
USR0104,29,8000,151000,medium,high,growth,US,beginner,medium,US_Stocks,0.0,controlled label noise for model robustness,10,32,40,65,54
USR0105,36,11000,219000,long,high,growth,US,advanced,medium,US_Stocks,0.247,high risk tolerance; long investment horizon; growth goal,0,8,42,85,64
USR0106,42,11000,144000,medium,high,capital_preservation,Saudi,beginner,medium,Saudi_Funds,0.276,medium investment horizon; medium liquidity need; capital preservation goal,38,58,42,25,36
USR0107,56,22500,492000,short,low,growth,Both,intermediate,medium,Deposits,0.176,low risk tolerance; short investment horizon; older investor profile,68,56,20,23,42
USR0108,39,26000,357000,medium,medium,capital_preservation,Both,advanced,low,Mixed,0.274,medium risk tolerance; medium investment horizon; low liquidity need,28,45,34,23,62
USR0109,40,17000,73000,medium,low,growth,US,beginner,medium,Saudi_Funds,0.211,low risk tolerance; medium investment horizon; medium liquidity need,45,57,20,34,28
USR0110,37,12500,149000,long,medium,income,Both,intermediate,medium,Mixed,0.359,medium risk tolerance; long investment horizon; medium liquidity need,14,41,36,21,64
USR0111,22,7000,22000,medium,medium,balanced,Saudi,beginner,high,Saudi_Funds,0.224,medium risk tolerance; medium investment horizon; high liquidity need,37,67,40,6,52
USR0112,37,8000,282000,long,high,balanced,Both,advanced,low,Mixed,0.273,high risk tolerance; long investment horizon; low liquidity need,0,13,38,64,88
USR0113,38,19500,679000,short,high,income,US,intermediate,medium,US_Stocks,0.111,high risk tolerance; prefers US market; larger investment capital,39,34,28,45,40
USR0114,62,23000,368000,long,low,growth,Saudi,advanced,low,US_Stocks,0.115,long investment horizon; low liquidity need; growth goal,43,43,44,52,46
USR0115,36,12500,337000,long,high,growth,US,intermediate,medium,US_Stocks,0.173,high risk tolerance; long investment horizon; growth goal,0,8,50,75,62
USR0116,41,47500,684000,short,medium,capital_preservation,Both,intermediate,high,Deposits,0.32,short investment horizon; high liquidity need; capital preservation goal,75,51,26,9,48
USR0117,37,15500,389000,medium,low,balanced,US,intermediate,low,Saudi_Funds,0.022,low risk tolerance; medium investment horizon; balanced goal,35,45,24,24,44
USR0118,26,7000,207000,long,high,income,Saudi,beginner,low,US_Stocks,0.055,high risk tolerance; long investment horizon; low liquidity need,24,38,52,55,50
USR0119,49,16000,547000,long,high,growth,Both,advanced,low,Mixed,0.023,high risk tolerance; long investment horizon; low liquidity need,0,5,50,86,88
USR0120,45,25500,413000,medium,medium,income,Both,intermediate,low,Mixed,0.25,medium risk tolerance; medium investment horizon; low liquidity need,14,45,42,13,60
USR0121,45,17500,504000,short,low,capital_preservation,Saudi,advanced,medium,Deposits,0.216,low risk tolerance; short investment horizon; capital preservation goal,88,69,14,14,22
USR0122,28,6000,70000,medium,low,capital_preservation,Saudi,intermediate,medium,Saudi_Funds,0.113,low risk tolerance; medium investment horizon; medium liquidity need,63,71,30,6,30
USR0123,52,27500,981000,medium,low,income,Both,advanced,high,Deposits,0.07,low risk tolerance; high liquidity need; income goal,71,66,8,19,42
USR0124,23,6500,25000,short,low,capital_preservation,Both,beginner,medium,Deposits,0.214,low risk tolerance; short investment horizon; capital preservation goal,103,81,0,11,28
USR0125,43,31500,721000,medium,low,income,Both,beginner,high,Deposits,0.037,low risk tolerance; high liquidity need; income goal,81,78,8,9,32
USR0126,59,33000,817000,long,medium,income,US,advanced,low,Mixed,0.069,medium risk tolerance; long investment horizon; low liquidity need,22,36,36,54,58
USR0127,28,8500,218000,long,high,growth,US,intermediate,low,US_Stocks,0.213,high risk tolerance; long investment horizon; low liquidity need,0,0,58,89,70
USR0128,32,18500,128000,medium,medium,growth,Saudi,beginner,medium,Saudi_Funds,0.037,medium risk tolerance; medium investment horizon; medium liquidity need,10,54,52,18,46
USR0129,38,14500,492000,short,medium,income,Saudi,advanced,high,Deposits,0.082,short investment horizon; high liquidity need; income goal,61,56,32,10,28
USR0130,32,16000,143000,medium,medium,income,Both,intermediate,medium,Mixed,0.086,medium risk tolerance; medium investment horizon; medium liquidity need,14,53,34,5,58
USR0131,22,9000,211000,short,low,capital_preservation,Saudi,beginner,high,US_Stocks,0.0,controlled label noise for model robustness,120,81,14,6,6
USR0132,38,10500,108000,short,low,income,US,intermediate,high,Deposits,0.385,low risk tolerance; short investment horizon; high liquidity need,96,59,8,16,8
USR0133,27,7500,98000,short,medium,growth,Both,beginner,high,Deposits,0.088,short investment horizon; high liquidity need; beginner investor,57,47,30,29,52
USR0134,42,22500,473000,medium,medium,growth,Saudi,intermediate,high,Saudi_Stocks,0.2,medium risk tolerance; medium investment horizon; growth goal,22,42,60,18,48
USR0135,28,9000,150000,short,low,balanced,Saudi,beginner,high,Deposits,0.207,low risk tolerance; short investment horizon; high liquidity need,92,73,14,6,24
USR0136,53,17500,145000,medium,medium,capital_preservation,Both,advanced,medium,Mixed,0.117,medium risk tolerance; medium investment horizon; medium liquidity need,28,53,26,15,60
USR0137,30,8000,69000,short,medium,growth,Both,intermediate,medium,Mixed,0.367,medium risk tolerance; medium liquidity need; growth goal,25,35,38,23,60
USR0138,34,14500,243000,long,high,growth,US,advanced,low,US_Stocks,0.29,high risk tolerance; long investment horizon; low liquidity need,0,0,50,93,66
USR0139,46,36000,1007000,long,high,growth,Saudi,intermediate,low,Saudi_Stocks,0.014,high risk tolerance; long investment horizon; low liquidity need,0,10,72,71,70
USR0140,25,6000,195000,long,high,growth,Saudi,beginner,medium,US_Stocks,0.077,high risk tolerance; long investment horizon; growth goal,10,30,56,65,60
USR0141,40,15000,86000,long,medium,income,Saudi,beginner,low,Saudi_Funds,0.0,medium risk tolerance; income goal; beginner investor,24,50,50,24,42
USR0142,51,32000,511000,long,high,growth,Saudi,advanced,low,US_Stocks,0.111,high risk tolerance; long investment horizon; low liquidity need,0,10,64,81,72
USR0143,22,7500,47000,medium,low,income,Both,beginner,medium,Saudi_Funds,0.229,low risk tolerance; medium investment horizon; medium liquidity need,64,83,8,11,38
USR0144,39,17000,60000,short,low,income,Saudi,beginner,medium,Deposits,0.036,low risk tolerance; short investment horizon; income goal,84,81,14,0,6
USR0145,40,10000,248000,short,high,growth,US,intermediate,medium,US_Stocks,0.22,high risk tolerance; growth goal; prefers US market,25,18,40,59,46
USR0146,45,19500,446000,medium,medium,capital_preservation,Saudi,beginner,medium,Saudi_Funds,0.429,medium risk tolerance; medium investment horizon; medium liquidity need,38,70,40,0,34
USR0147,25,8500,71000,medium,low,income,Both,beginner,low,Saudi_Funds,0.157,low risk tolerance; medium investment horizon; income goal,59,70,16,19,40
USR0148,24,12000,128000,long,high,growth,Saudi,beginner,low,US_Stocks,0.123,high risk tolerance; long investment horizon; low liquidity need,10,22,64,73,62
USR0149,43,24500,92000,long,medium,capital_preservation,Saudi,intermediate,high,Deposits,0.0,high liquidity need; capital preservation goal,50,46,50,16,42
USR0150,40,37500,1145000,short,medium,balanced,Saudi,beginner,low,Saudi_Funds,0.038,medium risk tolerance; short investment horizon; balanced goal,35,52,40,12,50
USR0151,40,18500,650000,short,high,growth,US,advanced,high,US_Stocks,0.342,high risk tolerance; growth goal; advanced investor,47,18,32,73,48
USR0152,41,17000,126000,short,low,income,Saudi,intermediate,medium,Deposits,0.068,low risk tolerance; short investment horizon; income goal,74,69,22,0,14
USR0153,31,12000,127000,medium,high,growth,Saudi,advanced,medium,Mixed,0.069,high risk tolerance; medium investment horizon; medium liquidity need,0,30,54,53,58
USR0154,40,13000,411000,medium,high,growth,Both,advanced,medium,Mixed,0.216,high risk tolerance; medium investment horizon; medium liquidity need,0,25,40,58,74
USR0155,40,17000,570000,long,high,growth,Both,beginner,low,Mixed,0.026,high risk tolerance; long investment horizon; low liquidity need,10,17,50,76,78
USR0156,30,10000,168000,short,low,capital_preservation,Both,intermediate,high,Deposits,0.418,low risk tolerance; short investment horizon; high liquidity need,110,64,8,5,24
USR0157,56,22500,105000,long,high,growth,Both,advanced,low,US_Stocks,0.0,high risk tolerance; long investment horizon; low liquidity need,8,13,50,82,82
USR0158,42,25000,107000,medium,high,balanced,Saudi,advanced,medium,Mixed,0.344,high risk tolerance; medium investment horizon; medium liquidity need,0,38,42,35,64
USR0159,26,6500,142000,short,low,income,Saudi,beginner,low,Deposits,0.131,low risk tolerance; short investment horizon; income goal,84,73,22,14,14
USR0160,44,25000,399000,long,medium,growth,Both,intermediate,low,Mixed,0.282,medium risk tolerance; long investment horizon; low liquidity need,0,17,56,47,78
USR0161,28,16000,63000,long,high,balanced,Saudi,beginner,low,Mixed,0.191,high risk tolerance; long investment horizon; low liquidity need,10,30,52,55,68
USR0162,45,16500,367000,medium,medium,growth,US,intermediate,high,Mixed,0.042,medium risk tolerance; medium investment horizon; growth goal,22,32,46,34,48
USR0163,49,8500,28000,medium,high,balanced,Saudi,advanced,medium,Mixed,0.328,high risk tolerance; medium investment horizon; medium liquidity need,5,43,42,35,64
USR0164,29,8500,246000,long,medium,growth,US,intermediate,medium,Mixed,0.152,medium risk tolerance; long investment horizon; medium liquidity need,0,20,48,56,66
USR0165,47,28000,367000,long,medium,growth,US,advanced,low,US_Stocks,0.059,long investment horizon; low liquidity need; growth goal,0,12,48,68,64
USR0166,42,15500,67000,long,medium,growth,Saudi,advanced,medium,Mixed,0.129,medium risk tolerance; long investment horizon; medium liquidity need,0,30,54,44,62
USR0167,46,12000,268000,long,medium,income,Both,advanced,low,Mixed,0.426,medium risk tolerance; long investment horizon; low liquidity need,14,33,36,39,68
USR0168,56,18000,290000,short,low,income,Both,intermediate,medium,Deposits,0.122,low risk tolerance; short investment horizon; income goal,82,72,8,5,30
USR0169,35,17500,614000,medium,medium,growth,Both,intermediate,low,Mixed,0.308,medium risk tolerance; medium investment horizon; low liquidity need,0,29,54,35,78
USR0170,30,13500,282000,medium,medium,capital_preservation,US,intermediate,low,Mixed,0.045,medium risk tolerance; medium investment horizon; low liquidity need,28,40,42,24,44
USR0171,29,9500,114000,short,low,balanced,Saudi,beginner,medium,Saudi_Funds,0.041,low risk tolerance; short investment horizon; medium liquidity need,70,73,14,6,30
USR0172,29,9000,237000,short,low,income,Saudi,beginner,high,Deposits,0.236,low risk tolerance; short investment horizon; high liquidity need,106,81,14,6,6
USR0173,37,12000,143000,short,medium,income,Saudi,beginner,medium,Saudi_Funds,0.279,medium risk tolerance; short investment horizon; medium liquidity need,49,68,32,0,24
USR0174,41,11000,361000,medium,medium,income,Saudi,beginner,high,Saudi_Funds,0.343,medium risk tolerance; medium investment horizon; high liquidity need,46,70,40,0,28
USR0175,40,26500,407000,long,high,growth,US,intermediate,medium,US_Stocks,0.173,high risk tolerance; long investment horizon; growth goal,0,8,50,75,62
USR0176,46,15500,327000,long,low,capital_preservation,Saudi,beginner,high,Deposits,0.253,low risk tolerance; high liquidity need; capital preservation goal,95,71,24,16,16
USR0177,38,22000,102000,short,high,growth,US,advanced,high,US_Stocks,0.319,high risk tolerance; growth goal; advanced investor,47,18,32,69,42
USR0178,52,34000,580000,medium,medium,income,Both,advanced,low,Mixed,0.338,medium risk tolerance; medium investment horizon; low liquidity need,14,45,34,27,68
USR0179,35,18500,563000,long,medium,growth,Saudi,intermediate,high,Saudi_Stocks,0.032,medium risk tolerance; long investment horizon; growth goal,22,30,62,38,60
USR0180,65,21500,636000,long,high,income,US,advanced,medium,US_Stocks,0.183,high risk tolerance; long investment horizon; advanced investor,22,32,30,71,58
USR0181,44,19000,197000,short,low,income,US,beginner,high,Deposits,0.0,controlled label noise for model robustness,106,71,0,16,0
USR0182,29,10500,109000,short,medium,balanced,US,beginner,medium,Saudi_Funds,0.04,medium risk tolerance; short investment horizon; medium liquidity need,35,50,18,22,48
USR0183,27,7000,209000,medium,medium,income,Both,advanced,medium,Mixed,0.197,medium risk tolerance; medium investment horizon; medium liquidity need,14,53,26,21,66
USR0184,42,17500,589000,medium,high,growth,Both,intermediate,high,Mixed,0.278,high risk tolerance; medium investment horizon; growth goal,22,25,48,52,72
USR0185,35,8500,52000,medium,medium,growth,Saudi,intermediate,high,Saudi_Stocks,0.2,medium risk tolerance; medium investment horizon; growth goal,22,42,60,18,48
USR0186,45,26000,464000,short,medium,income,Both,advanced,medium,Saudi_Funds,0.02,medium risk tolerance; short investment horizon; medium liquidity need,39,51,18,15,50
